series,model,mae,rmse,mape
EPD_ActualCost,RandomForest,31766507.646955818,34941956.739027366,7.937242591026507
EPD_ActualCost,GradientBoosting,35353441.61028689,38876146.115919866,8.742792278774568
EPD_ActualCost,ExtraTrees,30804665.620784044,34697950.87744119,7.7197855028281195
EPD_ActualCost,TreeEnsemble,32641538.292675573,35821725.79145913,8.13327345754306
EPD_ActualCost,WeightedTreeEnsemble,32528047.251202255,35723843.19391431,8.107758767436003
PCA_NIC,RandomForest,13932559.84844946,15359751.34913926,4.65519729204242
PCA_NIC,GradientBoosting,12932941.624489596,13965106.379735025,4.34347057786957
PCA_NIC,ExtraTrees,14519993.931211144,16181633.3647541,4.882220003279839
PCA_NIC,TreeEnsemble,12340442.774142215,14487676.641562812,4.184188220215079
PCA_NIC,WeightedTreeEnsemble,12265032.50812605,14420543.035262764,4.160964065269332
